Commit Hash,Date,Author,Message,Files Changed
13e91d7,2026-04-06 13:49:10,shivamsinghrathaur-tech,Merge feature-event-management-roamera into main,No file changes (merge commit)
290ea26,2026-04-06 13:46:01,shivamsinghrathaur-tech,Update JournalDetail page and index styles,"M frontend/src/index.css | M frontend/src/pages/JournalDetail.jsx"
ca0667e,2026-04-05 23:26:45,erutkarsh108,changes related to event management named meetways,"M backend/prisma/schema.prisma | M backend/src/index.js | A backend/src/routes/meetways.js | M frontend/src/App.jsx | M frontend/src/components/BottomNav.jsx | A frontend/src/pages/CreateMeetway.jsx | A frontend/src/pages/MeetwayDetail.jsx | A frontend/src/pages/Meetways.jsx | M mobile/src/navigation/AppNavigator.js | A mobile/src/screens/CreateMeetwayScreen.js | A mobile/src/screens/MeetwayDetailScreen.js | A mobile/src/screens/MeetwaysScreen.js"
27503c4,2026-04-02 19:25:35,shivamsinghrathaur-tech,Revert ""Add mobile app with build fixes"","D mobile/.gitignore | D mobile/App.js | D mobile/README.md | D mobile/app.json | D mobile/assets/adaptive-icon.png | D mobile/assets/icon.png | D mobile/assets/splash-icon.png | D mobile/babel.config.js | D mobile/eas.json | D mobile/package-lock.json | D mobile/package.json | D mobile/src/components/Avatar.js | D mobile/src/components/JournalCard.js | D mobile/src/context/AuthContext.js | D mobile/src/lib/api.js | D mobile/src/navigation/AppNavigator.js | D mobile/src/screens/BucketListScreen.js | D mobile/src/screens/CreateJournalScreen.js | D mobile/src/screens/FeedScreen.js | D mobile/src/screens/JournalDetailScreen.js | D mobile/src/screens/ProfileScreen.js | D mobile/src/screens/SearchScreen.js | D mobile/src/screens/auth/LoginScreen.js | D mobile/src/screens/auth/RegisterScreen.js"
a681f68,2026-04-02 18:32:51,shivamsinghrathaur-tech,Add mobile app with build fixes,"A mobile/.gitignore | A mobile/App.js | A mobile/README.md | A mobile/app.json | A mobile/assets/adaptive-icon.png | A mobile/assets/icon.png | A mobile/assets/splash-icon.png | A mobile/babel.config.js | A mobile/eas.json | A mobile/package-lock.json | A mobile/package.json | A mobile/src/components/Avatar.js | A mobile/src/components/JournalCard.js | A mobile/src/context/AuthContext.js | A mobile/src/lib/api.js | A mobile/src/navigation/AppNavigator.js | A mobile/src/screens/BucketListScreen.js | A mobile/src/screens/CreateJournalScreen.js | A mobile/src/screens/FeedScreen.js | A mobile/src/screens/JournalDetailScreen.js | A mobile/src/screens/ProfileScreen.js | A mobile/src/screens/SearchScreen.js | A mobile/src/screens/auth/LoginScreen.js | A mobile/src/screens/auth/RegisterScreen.js"
9adface,2026-03-30 08:44:02,shivamsinghrathaur-tech,Add username login support and update README,"M README.md | M backend/src/routes/auth.js | M frontend/src/pages/Login.jsx"
a854458,2026-03-30 00:35:45,mrt14august,Merge pull request #1 from ProjectXTravel/revrt-branch,No file changes (merge commit)
3773843,2026-03-30 00:32:47,Mritunjay,Revert ""Add crew system, badge reaction, compass feed, and profile overhaul"","M .claude/settings.local.json | A backend/prisma/list-users.js | M backend/prisma/schema.prisma | M backend/prisma/seed-all.js | M backend/src/lib/upload.js | M backend/src/routes/journals.js | M backend/src/routes/social.js | M frontend/src/components/JournalCard.jsx | M frontend/src/components/Navbar.jsx | M frontend/src/pages/Feed.jsx | M frontend/src/pages/JournalDetail.jsx | M frontend/src/pages/Profile.jsx"
7aba8f9,2026-03-29 23:58:02,shivamsinghrathaur-tech,Add crew system - badge reaction - compass feed - and profile overhaul,"M .claude/settings.local.json | D backend/prisma/list-users.js | M backend/prisma/schema.prisma | M backend/prisma/seed-all.js | M backend/src/lib/upload.js | M backend/src/routes/journals.js | M backend/src/routes/social.js | M frontend/src/components/JournalCard.jsx | M frontend/src/components/Navbar.jsx | M frontend/src/pages/Feed.jsx | M frontend/src/pages/JournalDetail.jsx | M frontend/src/pages/Profile.jsx"
6f337a4,2026-03-29 23:31:45,shivamsinghrathaur-tech,Add bucket list: reaction saves destinations to personal list,"M backend/prisma/schema.prisma | M backend/prisma/seed-all.js | M backend/src/routes/social.js | M frontend/src/pages/Profile.jsx"
3ecc5b8,2026-03-29 23:26:22,shivamsinghrathaur-tech,Add master seed script with all demo data,A backend/prisma/seed-all.js
12e4573,2026-03-29 23:19:08,shivamsinghrathaur-tech,Add bottom nav - following feed - Ladakh/Rameshwaram posts - and mobile responsiveness,"A backend/prisma/list-users.js | A backend/prisma/seed-biker-posts.js | M backend/src/routes/journals.js | M frontend/src/App.jsx | A frontend/src/components/BottomNav.jsx | M frontend/src/components/Navbar.jsx | M frontend/src/index.css | M frontend/src/pages/Feed.jsx | M frontend/src/pages/Itinerary.jsx | M frontend/src/pages/JournalDetail.jsx | M frontend/src/pages/JournalForm.jsx | M frontend/src/pages/Profile.jsx"
5efae5c,2026-03-29 19:52:57,shivamsinghrathaur-tech,Add notifications - itineraries - profile redesign - and follow improvements,"M backend/prisma/schema.prisma | M backend/src/routes/destinations.js | M backend/src/routes/social.js | M frontend/src/App.jsx | M frontend/src/components/Navbar.jsx | M frontend/src/components/TrendingDestinations.jsx | M frontend/src/context/AuthContext.jsx | A frontend/src/pages/Itinerary.jsx | M frontend/src/pages/Profile.jsx"
9805b52,2026-03-29 18:36:23,shivamsinghrathaur-tech,Add setup README with local dev - deployment - and tunnel instructions,M README.md
4e3a8f8,2026-03-29 18:33:49,shivamsinghrathaur-tech,Merge branch main of https://github.com/ProjectXTravel/fullstack,No file changes (merge commit)
7711c77,2026-03-29 18:33:33,shivamsinghrathaur-tech,Add reactions - photo carousel - Cloudflare tunnel config - and UI improvements,"M backend/package.json | A backend/prisma/migrations/20260329123209_add_reaction_type/migration.sql | M backend/prisma/schema.prisma | M backend/src/index.js | M backend/src/routes/journals.js | M backend/src/routes/search.js | M backend/src/routes/social.js | M backend/src/routes/users.js | M frontend/src/App.jsx | M frontend/src/components/JournalCard.jsx | M frontend/src/components/Navbar.jsx | A frontend/src/components/SpaceBackground.jsx | M frontend/src/components/TrendingDestinations.jsx | A frontend/src/context/ThemeContext.jsx | M frontend/src/index.css | M frontend/src/pages/Feed.jsx | M frontend/src/pages/JournalDetail.jsx | M frontend/src/pages/JournalForm.jsx | M frontend/src/pages/Login.jsx | M frontend/src/pages/PlanTrip.jsx | M frontend/src/pages/Profile.jsx | M frontend/src/pages/Register.jsx | M frontend/src/pages/Search.jsx | M frontend/vite.config.js"
8cb87c3,2026-03-29 18:21:42,projectxtravel10,Initial commit,No file changes recorded
b446b1f,2026-03-28 17:27:59,shivamsinghrathaur-tech,Prepare for free hosting (Vercel + Render + Neon + Cloudinary),"A .claude/settings.local.json | A backend/.env.example | M backend/package-lock.json | M backend/package.json | M backend/prisma/schema.prisma | M backend/src/index.js | M backend/src/lib/upload.js | M backend/src/routes/journals.js | M backend/src/routes/search.js | M backend/src/routes/users.js | A frontend/.env.example | M frontend/src/lib/api.js"
4d00cf9,2026-03-28 17:18:31,shivamsinghrathaur-tech,Initial commit — Romera travel journal app,No file changes recorded
